Quantity,Designator,Comment,Footprint,Description
"5","LPF1, LPF2, LPF3, LPF4, LPF5","LFCN-6000+","LPF3216X09N","Low Pass Filter / Ceramic Filters Low Pass 6000MHz 1.2dB 50Ohm SMD 4Pin T/R"
"1","P1","Header 20X2","HDR2X20","Header, 20-Pin, Dual row"
"1","P2","Header 2","HDR1X2","Header, 2-Pin"
"3","Q1, Q2, Q3","MMSS8050-L-TP","SOT23-3N","TRANS NPN 25V 1.5A SOT-23"
"2","R1, R2","CRCW040210K0FKED","0402N","Thick Film Resistors - SMD 1/16watt 10Kohms 1%"
"2","R3, R4","CRCW04025K10JNED","0402N","Thick Film Resistors - SMD 1/16watt 5.1Kohms 5%"
"3","R5, R6, R7","ERJ-2RKF22R0X","0402N","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 22ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0402"
"2","R8, R10","CRCW060310K0FKEA","0603N","Thick Film Resistors - SMD 1/10watt 10Kohms 1%"
"1","R9","C0603FR-0740K2L","0603N","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 40200ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"4","R11, R12, R14, R17","RC0402FR-074K7L","0402N","YAGEO (PHYCOMP)         RC0402FR-074K7L             SMD Chip Resistor, Thick Film, 4.7 kohm, 50 V, 0402 [1005 Metric], 63 mW,  1%, RC Series"
"3","R13, R15, R19","AC0402FR-0747KL","0402N","Thick Film Resistors - SMD 1/16W 47K ohm 1% AEC-Q200"
"1","R16","CRCW0402100RJNED","0402N","Thick Film Resistors - SMD 1/16watt 100ohms 5%"
"2","R18, R21","CRCW04020000Z0ED","0402N","Thick Film Resistors - SMD 1/16watt 0ohms"
"1","R20","ERJ-U02F10R0X","0402N","Res Thick Film 0402 10 Ohm 1% 0.1W(1/10W) ±200ppm/C Sulfur Resistant Pad SMD Automotive T/R"
"1","SB1","Open","SB_0603","Circuit Breaker"
"1","U1","TXS0104EPWR","TSSOP-14N","Interface Circuit, PDSO14"
"1","U2","SIM7600G-H","LCC+LGA-119N","Cellular Module, GSM, LTE-FDD, LTE-TDD, WCDMA, 3.4 V to 4.2 V, 30 mm x 30 mm x 2.9 mm"
"1","U3","TPS563209","SOT23-6N","Switching Regulator, 3A, 650kHz Switching Freq-Max, PDSO6"
"1","U4","SKY13322-375LF","MLPD-11N","Diversity Switch, 20MHz Min, 6000MHz Max, 1.25dB Insertion Loss-Max"
